iter	Passed	Remaining
1629	53271	77455
1630	53302	77421
1631	53332	77384
1632	53360	77345
1633	53389	77306
1634	53413	77261
1635	53437	77216
1636	53464	77175
1637	53489	77131
1638	53512	77085
1639	53542	77048
1640	53571	77011
1641	53605	76980
1642	53634	76942
1643	53665	76907
1644	53698	76874
1645	53728	76838
1646	53752	76793
1647	53780	76754
1648	53802	76706
1649	53829	76666
1650	53858	76628
1651	53887	76591
1652	53910	76544
1653	53938	76505
1654	53975	76478
1655	53997	76431
1656	54030	76398
1657	54054	76354
1658	54082	76315
1659	54104	76268
1660	54129	76224
1661	54159	76188
